,loss,accuracy,val_loss,val_accuracy
0,0.22450444391718127,0.9458386301994324,0.3730373434676714,0.8892917037010193
1,0.01862351312380073,0.9963576793670654,0.3809179976204388,0.8929169178009033
2,0.0038224780868211065,0.9995265007019043,0.37961667948555694,0.89235919713974
3,0.03572771005246224,0.9892915487289429,0.18712065525757648,0.9387897253036499
4,0.0011175085879849842,0.9999271631240845,0.1754088453916748,0.9597043991088867
5,0.0003148699700351526,1.0,0.15361839369580982,0.9587283730506897
6,0.02163255400647201,0.993553102016449,0.18923205819344008,0.954963743686676
7,0.0009513326726981563,0.9999271631240845,0.1976725416224475,0.9590072631835938
8,0.0006218647820076837,0.9999271631240845,0.18508850781629313,0.9567763805389404
9,0.0006801339718629903,0.999854326248169,0.5792646539557,0.8653095364570618
